Date,Open,High,Low,Close,Volume
3/30/2011,94.83,94.83,92.52,93.65,8208551
3/31/2011,94.26,95.29,93.15,93.26,7498349
4/1/2011,94.1,95,93.22,93.7,5995226
4/4/2011,94.33,94.86,92.64,92.77,6652129
4/5/2011,92.59,94.18,92.39,92.87,7529671
4/6/2011,93.61,93.9,90.89,91.94,7264892
4/7/2011,92.14,92.4,90.71,91.62,6259156
4/8/2011,92.7,92.76,90.41,90.85,7807340
4/11/2011,90.98,91.88,88.4,88.8,8314934
4/12/2011,87.79,88.18,85.55,86.24,10696388
4/13/2011,86.86,87.28,85.65,85.79,7486141
4/14/2011,85.14,86.35,84.72,86.02,6720501
4/15/2011,86.7,87.18,85.19,86.66,8167287
4/18/2011,85.11,85.4,83.6,84.75,9275341
4/19/2011,84.64,86.25,84.46,86.13,8701780
4/20/2011,87.62,88.08,87.1,87.89,8510704
4/21/2011,89.41,91.16,88.97,89.78,10960542
4/25/2011,89.56,89.78,87.6,88.05,5486131
4/26/2011,88.19,89.74,88.02,89.47,5982794
4/27/2011,89.84,90.13,87.33,89.38,7657469
4/28/2011,88.1,89.74,87.96,89.11,4793925
4/29/2011,88.81,90,87.95,89.75,6892081
5/2/2011,89.94,90.92,86.9,87.79,8568089
5/3/2011,87.21,87.93,85.19,85.85,8361994
5/4/2011,85.89,85.89,83.81,84.79,8645289
5/5/2011,83.01,85.4,81.74,82.84,13360929
5/6/2011,84.09,85.13,81.96,82.66,10726747
5/9/2011,83.4,84.03,82.67,83.59,8671211
5/10/2011,84.03,85.24,83.48,84.49,7287075
5/11/2011,84.27,84.27,80.83,82.25,12674123
5/12/2011,82.19,84.07,81.33,83.52,13431129
5/13/2011,83.68,84.25,81.72,82.71,10235943
5/16/2011,82.2,83.66,81.85,82.19,9594220
5/17/2011,81.41,82.66,80.85,82.06,11797217
5/18/2011,82.49,84.41,82.25,83.75,8621966
5/19/2011,84.15,84.6,82.85,83.58,7774272
5/20/2011,83.33,84.32,82.3,83.5,8245643
5/23/2011,81.86,82.42,81.38,82.08,6317365
5/24/2011,82.82,88.33,82.82,83.28,9057870
5/25/2011,82.78,84.77,82.78,84.09,10897510
5/26/2011,84,85.43,83.85,85.19,6460334
5/27/2011,85.49,86.48,84.56,84.71,6360888
5/31/2011,86.07,86.34,84.84,85.72,7383105
6/1/2011,85.73,86.14,82.86,83.19,8074877
6/2/2011,83.31,84.75,82.9,84.29,8083287
6/3/2011,82.87,86.15,82.67,85.04,8344249
6/6/2011,85.22,85.48,82.81,83.06,7455649
6/7/2011,84.21,84.59,82.84,82.88,5988441
6/8/2011,82.9,84.58,82.89,83.73,7472006
6/9/2011,84.18,86.52,84.11,85.84,8700453
6/10/2011,85.2,85.52,83.57,83.66,7337228
6/13/2011,83.77,84.49,81.66,82.7,7053030
6/14/2011,84.25,85.15,83.95,84.5,7476352
6/15/2011,83.54,85.24,82.04,82.66,8695207
6/16/2011,82.76,83.41,81.4,82.25,8469244
6/17/2011,82.94,82.94,81.33,81.79,7942424
6/20/2011,81.37,82.73,80.91,82.13,6434561
6/21/2011,82.48,84.18,82.38,83.5,6475967
6/22/2011,83.09,84.79,82.89,83.58,6004437
6/23/2011,81.04,83.21,80.25,83.07,10391302
6/24/2011,83.12,83.2,80.64,80.92,9957969
6/27/2011,80.31,81.27,79.55,80.64,8412201
6/28/2011,81.48,84.61,81.36,84.35,11133458
6/29/2011,84.82,86.4,84,85.21,9570218
6/30/2011,85.5,86.79,85.5,86.4,8681513
7/1/2011,85.89,87.74,85.25,87.6,7299537
7/5/2011,87.37,88.73,87.15,88.35,6140695
7/6/2011,88.5,89.27,87.85,89.11,6884037
7/7/2011,89.99,90.89,89.3,90.4,8340314
7/8/2011,88.38,90.29,88.22,89.96,6410767
7/11/2011,88.14,88.9,87.46,88.07,6201895
7/12/2011,87.39,87.97,86.68,86.84,8460094
